Name,Category,Type,Address,Cost Range,Tips,Website,Family
"Sintra Mitos e Lendas","Day Trip","Interactive Museum","Praca da Republica 23, 2710-616 Sintra","~12 EUR","Interactive myths-and-legends centre inside the Sintra tourist office — 17 themed multimedia rooms on local legends, audio guide in 5 languages. Daily 10:00-18:30, last entry 17:30. An air-conditioned, low-effort add-on right by the Piriquita lunch stop — the swap-in if Castelo dos Mouros gets cut.","https://www.visitlisboa.com/pt-pt/locais/sintra-mitos-e-lendas-centro-interativo","Excellent — cool, easy, and good for kids around the lunch stop"
"Igreja de Santo Antonio","Church","Church","Largo de Santo Antonio da Se, 1100-499 Lisboa","Free (crypt donation)","Built over the birthplace of St Anthony of Padua — tiny, free, right beside the Se. The 5-minute add-on as you pass on the Day 3 Alfama descent.","N/A","Good — quick and meaningful"
"Igreja de Sao Domingos","Church","Church","Largo de Sao Domingos, 1150-320 Lisboa","Free","Fire-scarred nave left raw after the 1959 blaze — haunting and unforgettable. Steps from the A Ginjinha counter; pair the two in ten minutes any evening.","N/A","Good — atmospheric for all ages"
"Miradouro do Monte Agudo","Viewpoint","Viewpoint","Anjos / Penha de Franca, 1170 Lisboa","Free","Kiosk terrace with pergola shade and not a tourist in sight — the apartment quarter's own viewpoint, ~10 min from home. Good late-afternoon or pre-dinner leg-stretch.","N/A","Good"
"Casa Independente","Hidden Gem","Art Space / Courtyard Bar","Largo do Intendente Pina Manique 45, 1100-285 Lisboa","Free entry; events vary","Belle-epoque townhouse turned art space and courtyard bar on Largo do Intendente. Tiger Room concerts are a local institution — check the programme before going. 10 min walk from the apartment; evening drink territory, nothing like a tourist bar.","N/A","Good — courtyard works early evening"
"Fabrica Braco de Prata","Hidden Gem","Culture Complex","Rua da Fabrica de Material de Guerra 1, 1950-128 Lisboa (Marvila)","Free entry; events vary","Former ammunition factory turned book-lined culture complex — concerts, film, exhibitions across a warren of rooms. Friday-night live music if an evening ever needs an out-there option. Not on the plan; a Marvila add-on.","N/A","Good — teens more than small kids"
"Dois Corvos Taproom","Hidden Gem","Craft Brewery Taproom","Rua Capitao Leitao 94, 1950-052 Lisboa (Marvila)","8-15 EUR/person","The brewery that started Marvila's craft renaissance — 17 taps, tasting paddles, pub kitchen. Pairs with 8 Marvila two streets over. Weekend afternoons are when the district wakes up.","N/A","OK — kid-tolerant in the afternoon"
"Livraria do Simao","Hidden Gem","Tiny Bookshop","Escadinhas de Sao Cristovao 18, 1100-473 Lisboa","Free to browse","Four square metres wedged into a stair-arch — one customer at a time, the smallest bookshop in Lisbon. Sits ON the Day 3 Alfama descent route: 60 seconds of delight, zero detour.","N/A","Good — quick novelty stop"
"Museu da Marioneta","Museum","Puppet Museum","Rua da Esperanca 146, 1200-660 Lisboa (Madragoa)","Small fee","5,000 puppets in a 17th-century convent. The African and Asian mask floor is the standout; check live-show times before committing. Off the tourist grid in Madragoa.","https://www.museudamarioneta.pt","Excellent — best small museum for kids in town"
"Graca Bell-Tower Terrace (Igreja da Graca)","Viewpoint","Church Tower Terrace","Largo da Graca, 1170-165 Lisboa","~5 EUR (includes a drink at the esplanada)","The convent church's tower terrace — Portas do Sol views for a fraction of the crowd. Sunset-facing and almost always quiet. Pair with the Miradouro da Graca kiosk right below.","N/A","Good"
"Miradouro do Recolhimento","Viewpoint","Secret Terrace","Rua do Recolhimento, 1100 Lisboa (Castelo)","Free","The secret terrace below the castle walls. Turn downhill off Rua da Graca and the view opens on your right. Rarely more than a handful of people.","N/A","Good"
"Largo do Contador-Mor","Hidden Gem","Alfama Square","Largo do Contador Mor, 1100-165 Lisboa (Alfama)","Free","Sun-baked upper-Alfama square the tour groups never find — two minutes from the castle gate. Cards in the shade, cats on doorsteps. Natural pause on the Day 3 descent.","N/A","Good"
"Jardim Botto Machado","Park","Neighbourhood Garden","Campo de Santa Clara, 1100-472 Lisboa","Free","Small shaded garden beside the Panteao, missed by the Feira da Ladra crowds. The Day 3 recovery bench between the flea market and the Panteao.","N/A","Excellent — shade and playground"
"Jardim do Caracol da Penha","Park","Hillside Park + Slide","Penha de Franca / Arroios, 1170 Lisboa","Free","Brand-new hillside community park with a long metal slide and its own miradouro. 10 min from the apartment — the pre-dinner leg-stretch nobody else's guidebook has.","N/A","Excellent — the slide is the draw"
"Ascensor da Graca","Landmark / Funicular","Funicular","Graca, 1170 Lisboa","1.90 EUR on card","The one funicular running in Aug 2026 — reopened 30 Apr 2026. A 90-second cheat up toward the Graca miradouros if it happens to be running when you pass. Gloria, Bica and Lavra all remain closed or suspended.","https://www.carris.pt/en/elevadores/","Good"
Santuario de Cristo Rei,Sight,Monument,"Alto do Pragal Av. Cristo Rei 2800-058 Almada","10 EUR age 13+, 3 EUR age 8-12, under 8 free","OPTION ONLY - not in the default plan. Two ways in: Day 3 evening instead of fado (Bolt over the bridge from Belem after the 15:30 cloister) or Day 4 midday instead of the Oceanario (ferry Cais do Sodre to Cacilhas plus bus 101). 28 m Christ on an 82 m portico, opened 1959 in thanks for Portugal being spared WWII, modelled on Rio. Lift up the pedestal to a platform over the city and the 25 de Abril bridge. Daily 10:00-19:00 Apr-Sep, LAST ASCENT 18:40 - closes before sunset. Phone +351 212 751 000.",https://cristorei.pt/en/,Excellent - the one view with Lisbon itself in it
